rate,Submissions,cost per response
10,9,0.37
10,18,0.26
10,27,0.293333333
10,171,0.256666667
12,153,0.346666667
12,126,0.39
12,63,0.353333333
10,18,0.223333333
10,9,0.28
10,54,0.383333333
12,108,0.303333333
10,9,0.173333333
10,90,0.216666667
12,153,0.223333333
12,162,0.25
10,45,0.496666667
10,9,0.283333333
12,27,0.183333333
2,9,0.313333333
10,9,0.096666667
12,198,0.243333333
10,9,0.47
12,27,0.266666667
12,9,0.15
6,9,0.636666667
2,9,0.833333333
2,18,0.87
2,9,0.456666667
2,9,0.64
2,9,0.653333333
12,18,0.243333333
12,9,0.34
12,9,0.34
12,9,0.143333333
12,18,0.166666667
12,9,0.31
2,9,0.203333333
10,9,0.31
10,9,0.29
10,9,0.213333333
10,9,0.29
6,9,0.263333333
2,9,0.286666667
12,9,0.123333333
8,9,0.093333333
4,153,0.18
6,9,0.093333333
6,9,0.05
10,9,0.16
10,9,0.28
6,9,0.25
6,9,0.37
6,9,0.233333333
6,9,0.146666667
10,18,0.366666667
10,9,0.32
10,9,0.196666667
10,36,0.22
10,189,0.283333333
12,144,0.256666667
12,189,0.353333333
10,9,0.326666667
12,144,0.32
12,270,0.383333333
12,18,0.28
10,27,0.256666667
10,9,0.303333333
10,27,0.273333333
12,63,0.23
12,171,0.296666667
10,9,0.38
10,243,0.3
10,27,0.553333333
10,18,0.09
10,36,0.366666667
12,36,0.303333333
12,27,0.256666667
12,9,0.226666667
10,9,0.086666667
10,9,0.123333333
6,9,0.293333333
6,9,0.276666667
10,9,0.516666667
12,9,0.443333333
6,9,0.11
10,9,0.213333333
10,18,0.443333333
10,9,0.336666667
8,9,0.23
4,9,0.146666667
14,18,0.196666667
4,9,0.126666667
4,9,0.243333333
4,9,0.13
10,9,0.25
10,9,0.41
10,9,0.113333333
10,72,0.39
12,81,0.306666667
10,27,0.516666667
10,45,0.553333333
10,9,0.273333333
10,18,0.2
10,9,0.43
12,117,0.3
10,45,0.283333333
10,18,0.206666667
12,180,0.223333333
12,243,0.323333333
10,9,0.166666667
10,9,0.226666667
10,45,0.32
10,9,0.336666667
10,18,0.283333333
10,27,0.343333333
10,90,0.22
12,216,0.26
10,36,0.466666667
10,36,0.416666667
12,18,0.206666667
12,252,0.256666667
12,117,0.32
10,9,0.163333333
12,117,0.36
6,9,0.113333333
2,9,0.426666667
12,9,0.253333333
4,18,0.24
8,9,0.136666667
4,9,0.203333333
10,9,0.356666667
10,9,0.25
10,27,0.336666667
12,9,0.41
10,9,0.136666667
12,18,0.273333333
12,9,0.23
12,9,0.153333333
10,9,0.156666667
14,9,0.353333333
10,9,0.2
6,9,0.293333333
12,18,0.203333333
10,9,0.223333333
10,18,0.346666667
10,9,0.38
10,9,0.196666667
10,9,0.266666667
10,9,0.3
10,9,0.306666667
12,9,0.163333333
12,9,0.16
12,9,0.266666667
2,18,0.17
2,9,0.273333333
6,9,0.156666667
8,9,0.123333333
6,9,0.073333333
12,9,0.036666667
10,18,0.206666667
6,9,0.04
10,18,0.263333333
4,18,0.163333333
4,9,0.123333333
8,9,0.163333333
8,9,0.273333333
8,9,0.076666667
6,18,0.136666667
10,9,0.296666667
2,9,0.156666667
6,9,0.06
10,9,0.123333333
10,9,0.016666667
12,9,0.233333333
10,9,0.236666667
12,9,0.14
10,9,0.15
10,9,0.29
12,9,0.296666667
6,9,0.056666667
12,9,0.326666667
6,18,0.226666667
6,9,0.076666667
6,9,0.156666667
6,9,0.11
6,18,0.123333333
6,9,0.156666667
6,9,0.156666667
6,18,0.203333333
2,9,0.293333333
6,9,0.086666667
6,9,0.15
2,9,0.356666667
2,9,0.303333333
2,9,0.16
2,9,0.026666667
6,9,0.1
2,9,0.336666667
2,9,0.05
6,9,0.18
6,9,0.436666667
6,9,0.096666667
10,9,0.223333333
10,9,0.136666667
10,9,0.176666667
10,18,0.04
10,9,0.19
10,9,0.466666667
10,9,0.326666667
10,9,0.16
6,9,0.39
10,9,0.156666667
2,18,0.2
10,27,0.376666667
12,270,0.316666667
10,9,0.866666667
6,9,0.23
6,18,0.276666667
10,9,0.336666667
10,9,0.136666667
14,27,0.296666667
14,27,0.14
10,9,0.17
14,27,0.21
10,27,0.213333333
14,18,0.27
14,36,0.116666667
14,18,0.253333333
6,9,0.206666667
14,18,0.26
14,9,0.456666667
14,18,0.186666667
14,9,0.133333333
14,9,0.1
14,36,0.34
14,9,0.143333333
10,18,0.236666667
2,9,0.33
6,9,0.143333333
2,9,0.306666667
12,9,0.13
10,9,0.61
10,9,0.273333333
10,18,0.45
6,9,0.203333333
6,18,0.113333333
6,9,0.07
12,9,0.206666667
12,9,0.016666667
12,9,0.213333333
2,9,0.186666667
6,9,0.15
6,9,0.576666667
10,9,0.306666667
10,9,0.226666667
10,18,0.226666667
10,9,0.233333333
10,9,0.346666667
10,27,0.31
10,27,0.343333333
6,9,0.2
6,9,0.096666667
12,9,0.17
6,9,0.04
10,9,0.21
12,9,0.5
6,9,0.126666667
6,9,0.63
6,9,0.206666667
12,9,0.24
12,9,0.08
6,18,0.306666667
10,18,0.406666667
2,18,0.173333333
8,9,0.17
4,9,0.156666667
12,27,0.306666667
12,27,0.3
10,9,0.05
10,18,0.386666667
12,36,0.16
12,54,0.216666667
12,18,0.143333333
12,36,0.27
10,9,0.216666667
2,9,0.163333333
8,9,0.126666667
6,9,0.25
12,9,0.246666667
12,9,0.096666667
12,18,0.403333333
12,9,0.096666667
12,9,0.166666667
12,9,0.296666667
12,9,0.096666667
12,36,0.333333333
12,36,0.14
12,9,0.08
12,9,0.093333333
12,9,0.286666667
12,36,0.293333333
12,18,0.16
12,9,0.16
12,18,0.086666667
12,9,0.15
12,18,0.233333333
12,9,0.126666667
12,9,0.186666667
12,18,0.256666667
12,18,0.156666667
12,9,0.14
12,18,0.143333333
12,9,0.146666667
12,9,0.126666667
12,18,0.1
12,9,0.146666667
10,9,0.1
10,18,0.166666667
18,9,0.103333333
12,9,0.143333333
10,9,0.116666667
12,9,0.086666667
12,9,0.156666667
12,9,0.09
10,9,0.066666667
12,27,0.14
10,9,0.036666667
10,18,0.07
12,36,0.163333333
10,9,0.273333333
12,9,0.156666667
12,18,0.256666667
12,9,0.123333333
10,9,0.156666667
12,18,0.22
12,9,0.14
12,36,0.236666667
12,9,0.146666667
12,27,0.26
12,18,0.123333333
12,9,0.15
12,9,0.043333333
10,18,0.21
12,9,0.253333333
12,9,0.066666667
12,9,0.11
12,9,0.493333333
12,9,0.24
12,36,0.223333333
12,9,0.14
12,27,0.2
12,27,0.193333333
12,9,0.156666667
12,90,0.306666667
12,18,0.146666667
12,9,0.066666667
12,9,0.24
12,27,0.26
12,18,0.073333333
12,9,0.173333333
12,18,0.153333333
12,9,0.183333333
12,9,0.193333333
12,9,0.06
12,9,0.26
12,9,0.133333333
12,9,0.24
12,9,0.13
12,9,0.15
12,9,0.173333333
10,9,0.173333333
12,9,0.22
12,18,0.123333333
12,9,0.293333333
12,9,0.283333333
10,9,0.333333333
12,9,0.173333333
12,9,0.143333333
10,9,0.106666667
12,9,0.333333333
10,18,0.113333333
12,9,0.133333333
12,9,0.17
12,18,0.186666667
10,9,0.213333333
12,9,0.423333333
12,18,0.136666667
12,9,0.07
12,9,0.313333333
12,9,0.13
12,9,0.146666667
12,9,0.33
12,9,0.21
12,27,0.3
12,9,0.116666667
12,9,0.326666667
12,36,0.346666667
12,18,0.136666667
12,9,0.193333333
12,9,0.143333333
12,9,0.103333333
12,9,0.27
10,9,0.183333333
12,18,0.323333333
12,9,0.223333333
12,9,0.16
12,27,0.266666667
12,18,0.16
12,9,0.263333333
12,9,0.263333333
12,18,0.146666667
12,9,0.203333333
12,9,0.193333333
12,9,0.263333333
12,9,0.293333333
12,9,0.1
12,9,0.233333333
12,9,0.196666667
12,9,0.546666667
12,9,0.176666667
12,18,0.16
12,18,0.18
12,9,0.196666667
12,9,0.123333333
12,18,0.23
10,72,0.606666667
6,9,0.183333333
6,9,0.086666667
6,9,0.043333333
6,9,0.11
6,9,0.1
16,45,0.44
16,144,0.606666667
16,63,0.553333333
16,81,0.493333333
16,90,0.413333333
16,99,0.773333333
12,108,0.543333333
12,72,0.4
16,54,0.756666667
10,72,0.713333333
16,108,0.926666667
16,27,0.693333333
12,126,0.53
12,9,0.5
16,90,0.513333333
12,81,0.553333333
12,54,0.483333333
10,45,0.326666667
16,72,0.68
16,162,0.543333333
10,63,0.673333333
10,108,0.56
10,45,0.733333333
10,72,0.45
12,18,0.436666667
12,144,0.613333333
16,144,0.63
12,9,0.08
12,153,0.726666667
16,54,0.663333333
16,72,0.503333333
12,81,0.48
16,72,0.633333333
16,126,0.676666667
12,72,0.78
10,72,0.603333333
10,135,0.493333333
16,54,0.43
12,72,0.57
16,117,0.4
16,144,0.533333333
12,72,0.56
12,99,0.606666667
10,81,0.663333333
10,27,0.476666667
10,18,0.34
12,171,0.493333333
12,45,0.496666667
16,162,0.606666667
12,90,0.733333333
16,180,0.65
16,72,0.5
12,54,0.336666667
16,45,0.603333333
12,126,0.42
16,63,0.573333333
12,72,0.663333333
16,135,0.55
12,72,0.716666667
12,9,0.206666667
10,9,0.216666667
12,9,0.146666667
10,9,0.216666667
6,9,0.07
10,18,0.466666667
12,18,0.223333333
12,9,0.26
12,18,0.13
12,9,0.11
6,9,0.056666667
6,9,0.083333333
6,9,0.156666667
16,27,0.043333333
12,9,0.103333333
12,9,0.04
16,9,0.026666667
12,18,0.153333333
10,9,0.326666667
10,9,0.283333333
6,9,0.276666667
10,9,0.096666667
12,9,0.11
16,18,0.033333333
16,27,0.133333333
10,18,0.153333333
16,18,0.176666667
12,9,0.083333333
12,9,0.063333333
12,54,0.146666667
12,18,0.123333333
12,9,0.163333333
12,9,0.343333333
12,9,0.16
6,9,0.046666667
12,9,0.3
12,9,0.29
12,9,0.14
8,18,0.14
10,18,0.103333333
10,18,0.14
10,27,0.1
10,36,0.173333333
10,45,0.096666667
10,9,0.043333333
10,9,0.15
10,54,0.123333333
10,36,0.133333333
10,27,0.076666667
10,18,0.113333333
10,18,0.11
10,36,0.056666667
10,153,0.13
10,27,0.103333333
10,45,0.12
10,72,0.15
10,36,0.123333333
10,45,0.103333333
10,54,0.18
10,18,0.116666667
10,18,0.093333333
12,9,0.19
12,9,0.473333333
12,9,0.333333333
10,36,0.186666667
10,9,0.066666667
10,45,0.176666667
10,27,0.106666667
10,27,0.116666667
10,9,0.12
12,9,0.2
10,36,0.086666667
10,18,0.08
10,9,0.146666667
10,126,0.106666667
10,54,0.103333333
10,36,0.133333333
10,9,0.233333333
10,45,0.136666667
10,36,0.08
10,27,0.116666667
10,36,0.14
6,9,0.156666667
10,36,0.183333333
10,27,0.183333333
10,27,0.193333333
10,54,0.173333333
6,9,0.28
10,27,0.156666667
10,18,0.216666667
6,9,0.263333333
10,9,0.216666667
10,9,0.186666667
12,18,0.093333333
10,9,0.21
12,18,0.283333333
10,9,0.186666667
12,18,0.163333333
12,9,0.146666667
12,9,0.316666667
12,9,0.213333333
12,9,0.2
12,9,0.153333333
12,9,0.096666667
14,27,0.046666667
12,9,0.053333333
12,27,0.06
14,9,0.013333333
14,9,0.02
14,9,0.063333333
12,9,0.066666667
12,9,0.06
14,9,0.09
12,9,0.106666667
12,9,0.166666667
12,18,0.293333333
12,9,0.41
12,9,0.32
12,9,0.116666667
12,9,0.09
12,9,0.546666667
12,36,0.216666667
12,27,0.243333333
10,18,0.17
10,9,0.156666667
10,27,0.11
10,18,0.196666667
10,36,0.186666667
10,18,0.153333333
10,18,0.13
10,27,0.11
14,9,0.066666667
12,27,0.063333333
12,18,0.053333333
14,9,0.05
14,18,0.06
14,9,0.07
14,18,0.143333333
6,9,0.096666667
6,9,0.12
6,9,0.05
10,27,0.183333333
10,18,0.1
10,9,0.203333333
10,36,0.18
10,18,0.126666667
10,36,0.223333333
10,27,0.136666667
10,9,0.196666667
10,9,0.196666667
10,27,0.056666667
10,27,0.143333333
12,9,0.28
12,9,0.176666667
12,9,0.226666667
12,9,0.173333333
12,9,0.19
12,27,0.26
12,18,0.163333333
12,9,0.073333333
12,9,0.263333333
12,9,0.176666667
12,9,0.306666667
12,9,0.406666667
12,18,0.263333333
12,9,0.25
12,63,0.156666667
12,18,0.233333333
12,45,0.223333333
12,27,0.226666667
12,36,0.123333333
12,27,0.173333333
10,117,0.673333333
12,126,0.513333333
16,117,0.64
10,45,0.373333333
16,108,0.47
12,144,0.823333333
12,117,0.533333333
10,54,0.63
10,18,0.66
12,117,0.54
16,180,0.47
12,63,0.36
16,81,0.58
10,81,0.51
12,72,0.653333333
16,144,0.436666667
16,153,0.743333333
16,99,0.51
12,54,0.543333333
12,117,0.583333333
12,54,0.27
12,144,0.596666667
10,90,0.416666667
16,54,0.583333333
12,81,0.576666667
10,126,0.553333333
10,72,0.483333333
12,9,0.353333333
16,81,0.51
16,90,0.636666667
12,135,0.533333333
12,225,0.456666667
16,81,0.503333333
16,90,0.733333333
10,117,0.636666667
12,144,0.396666667
16,99,0.703333333
10,153,0.583333333
12,135,0.62
12,81,0.406666667
12,18,0.196666667
16,18,0.413333333
12,90,0.433333333
16,117,0.453333333
12,72,0.603333333
12,108,0.51
16,81,0.696666667
12,18,0.29
10,126,0.533333333
10,45,0.523333333
12,9,0.276666667
12,117,0.696666667
12,99,0.633333333
10,9,0.306666667
10,27,0.38
16,180,0.593333333
12,99,0.693333333
16,90,0.616666667
6,9,0.186666667
2,9,0.126666667
2,9,0.283333333
2,9,0.193333333
6,18,0.176666667
6,9,0.196666667
6,9,0.27
6,9,0.163333333
2,9,0.25
8,18,0.04
8,9,0.023333333
8,9,0.026666667
8,9,0.09
8,36,0.096666667
8,18,0.056666667
8,27,0.09
6,9,0.05
8,18,0.053333333
2,9,0.113333333
12,9,0.396666667
12,9,0.193333333
12,9,0.243333333
12,18,0.06
12,9,0.24
12,9,0.07
8,18,0.076666667
10,27,0.03
10,36,0.04
6,9,0.183333333
8,18,0.15
10,9,0.173333333
12,9,0.233333333
12,9,0.19
12,18,0.19
12,9,0.143333333
12,9,0.176666667
12,9,0.11
12,9,0.106666667
12,9,0.123333333
12,9,0.29
12,9,0.043333333
16,9,0.263333333
10,9,0.326666667
10,9,0.163333333
12,9,0.233333333
18,18,0.206666667
12,9,0.17
12,9,0.163333333
12,9,0.076666667
12,9,0.006666667
12,9,0.1
12,9,0.076666667
12,9,0.093333333
12,9,0.086666667
12,9,0.096666667
12,9,0.35
12,9,0.096666667
6,9,0.293333333
10,9,0.09
10,9,0.123333333
10,9,0.066666667
10,9,0.03
12,18,0.18
10,9,0.073333333
12,9,0.136666667
12,9,0.083333333
12,18,0.143333333
12,18,0.163333333
10,9,0.123333333
10,9,0.15
10,18,0.106666667
12,9,0.19
12,9,0.06
16,27,0.18
16,9,0.023333333
16,27,0.02
16,18,0.026666667
6,9,0.05
16,9,0.066666667
16,27,0.05
10,9,0.22
16,9,0.05
16,9,0.17
16,27,0.69
16,9,0.13
10,9,0.126666667
10,9,0.1
16,9,0.293333333
10,9,0.053333333
16,18,0.04
16,9,0.01
6,9,0.176666667
6,9,0.133333333
6,9,0.356666667
6,18,0.073333333
6,9,0.486666667
6,9,0.093333333
6,9,0.156666667
6,9,0.153333333
12,9,0.27
12,9,0.13
12,9,0.236666667
12,9,0.176666667
6,9,0.07
12,9,0.12
6,9,0.07
12,9,0.346666667
2,9,0.373333333
10,9,0.086666667
6,9,0.09
12,9,0.18
12,9,0.14
14,27,0.08
14,36,0.11
14,9,0.093333333
12,9,0.073333333
12,9,0.043333333
14,27,0.046666667
14,27,0.05
14,9,0.096666667
14,9,0.03
14,9,0.053333333
14,9,0.11
14,9,0.08
14,27,0.043333333
14,9,0.086666667
12,9,0.056666667
12,9,0.006666667
14,9,0.07
14,9,0.05
14,27,0.046666667
10,9,0.066666667
14,9,0.053333333
10,9,0.156666667
6,27,0.386666667
6,27,0.133333333
6,90,0.096666667
6,144,0.116666667
2,9,0.043333333
6,108,0.183333333
10,9,0.13
6,189,0.093333333
6,18,0.1
6,9,0.033333333
6,45,0.093333333
6,36,0.223333333
6,72,0.06
6,18,0.133333333
6,153,0.113333333
12,9,0.263333333
12,9,0.233333333
12,9,0.32
12,9,0.17
12,9,0.39
16,18,0.156666667
10,9,0.153333333
12,9,0.16
12,9,0.38
12,9,0.253333333
12,9,0.316666667
12,9,0.393333333
10,27,0.196666667
6,27,0.33
10,18,0.196666667
6,9,0.163333333
6,9,0.113333333
10,18,0.146666667
10,18,0.19
10,45,0.153333333
10,45,0.143333333
10,9,0.15
12,18,0.233333333
12,9,0.21
16,9,0.02
16,18,0.043333333
10,36,0.07
10,18,0.17
10,45,0.176666667
10,27,0.096666667
10,9,0.083333333
6,99,0.106666667
10,18,0.12
10,27,0.056666667
10,9,0.18
10,9,0.136666667
10,36,0.106666667
10,27,0.106666667
10,63,0.226666667
10,36,0.18
10,45,0.093333333
6,45,0.09
10,27,0.053333333
10,54,0.11
10,9,0.15
10,54,0.133333333
10,9,0.05
10,9,0.116666667
10,27,0.153333333
10,18,0.17
10,9,0.173333333
10,108,0.096666667
10,36,0.113333333
10,45,0.116666667
10,27,0.12
6,63,0.146666667
10,54,0.196666667
10,27,0.073333333
6,72,0.136666667
10,9,0.143333333
10,54,0.186666667
10,45,0.1
10,18,0.143333333
10,9,0.076666667
6,117,0.136666667
10,18,0.086666667
12,9,0.036666667
16,36,0.023333333
16,36,0.05
12,9,0.036666667
16,9,0.033333333
16,9,0.04
16,27,0.113333333
12,27,0.06
16,63,0.03
16,18,0.05
16,36,0.043333333
6,9,0.14
10,27,0.08
10,9,0.12
10,36,0.096666667
10,72,0.16
10,9,0.123333333
10,27,0.053333333
12,9,0.123333333
12,9,0.176666667
12,9,0.326666667
12,54,0.186666667
12,27,0.21
12,9,0.08
12,9,0.183333333
12,18,0.28
12,9,0.276666667
12,9,0.16
10,18,0.416666667
12,45,0.3
12,45,0.25
12,9,0.116666667
12,18,0.153333333
12,18,0.143333333
12,9,0.176666667
12,9,0.113333333
12,9,0.156666667
12,18,0.166666667
6,9,0.15
2,9,0.15
2,9,0.24
10,9,0.023333333
6,9,0.25
6,9,0.136666667
12,9,0.15
12,9,0.233333333
12,9,0.243333333
12,9,0.106666667
12,18,0.296666667
12,27,0.19
12,9,0.26
12,9,0.136666667
12,9,0.16
12,18,0.273333333
12,9,0.18
12,9,0.036666667
12,9,0.443333333
12,18,0.156666667
12,18,0.18
12,36,0.216666667
12,9,0.223333333
12,9,0.196666667
12,9,0.2
12,9,0.173333333
12,9,0.32
12,9,0.163333333
12,27,0.256666667
12,9,0.263333333
12,9,0.243333333
12,9,0.136666667
12,18,0.24
12,9,0.11
12,9,0.146666667
12,18,0.18
12,9,0.173333333
12,9,0.256666667
12,18,0.256666667
12,27,0.206666667
6,18,0.29
10,45,0.26
10,27,0.163333333
10,27,0.243333333
10,9,0.366666667
6,9,0.14
6,9,0.03
10,9,0.056666667
6,9,0.166666667
6,9,0.17
2,9,0.093333333
6,9,0.143333333
14,18,0.08
12,9,0.15
12,18,0.06
12,18,0.046666667
14,9,0.076666667
14,36,0.063333333
14,9,0.133333333
10,18,0.213333333
10,9,0.216666667
10,18,0.13
10,36,0.13
10,45,0.14
10,9,0.093333333
10,9,0.113333333
10,27,0.06
10,36,0.1
10,27,0.11
10,36,0.113333333
10,18,0.066666667
10,36,0.133333333
10,36,0.186666667
10,135,0.15
10,9,0.05
6,108,0.166666667
10,54,0.126666667
10,45,0.136666667
10,18,0.096666667
6,162,0.133333333
10,27,0.086666667
14,27,0.07
12,18,0.043333333
14,9,0.146666667
12,9,0.123333333
12,9,0.083333333
14,9,0.016666667
14,9,0.016666667
14,18,0.08
12,18,0.06
12,27,0.066666667
12,9,0.033333333
10,18,0.093333333
10,9,0.133333333
10,36,0.116666667
6,90,0.12
6,9,0.33
10,54,0.143333333
10,36,0.143333333
10,18,0.123333333
10,45,0.096666667
10,108,0.136666667
10,153,0.123333333
10,9,0.043333333
10,54,0.09
10,18,0.113333333
10,36,0.116666667
10,9,0.06
6,81,0.13
10,18,0.073333333
10,45,0.133333333
10,27,0.093333333
10,153,0.146666667
6,198,0.136666667
10,9,0.173333333
6,9,0.066666667
6,9,0.016666667
10,9,0.063333333
6,9,0.16
6,9,0.17
6,9,0.12
6,9,0.17
6,9,0.043333333
6,9,0.083333333
6,18,0.263333333
6,27,0.243333333
12,9,0.183333333
10,9,0.166666667
6,9,0.306666667
10,9,0.246666667
10,9,0.14
16,18,0.25
2,18,0.216666667
6,9,0.053333333
12,9,0.056666667
16,27,0.37
10,18,0.133333333
10,18,0.126666667
16,9,0.143333333
16,9,0.073333333
10,9,0.136666667
6,9,0.306666667
10,9,0.063333333
4,9,0.32
6,9,0.073333333
6,117,0.19
6,117,0.073333333
6,9,0.033333333
6,27,0.16
6,126,0.093333333
10,9,0.16
6,18,0.076666667
6,9,0.173333333
10,9,0.17
10,9,0.1
10,9,0.183333333
10,9,0.08
10,9,0.15
6,9,0.33
6,216,0.1
6,72,0.116666667
6,126,0.09
6,90,0.093333333
6,180,0.096666667
6,45,0.16
6,144,0.113333333
6,9,0.26
10,18,0.19
10,9,0.18
10,36,0.12
10,27,0.163333333
10,9,0.09
10,9,0.236666667
10,45,0.14
10,9,0.11
10,9,0.1
10,18,0.1
12,9,0.233333333
12,9,0.243333333
12,9,0.123333333
12,9,0.126666667
12,9,0.22
12,9,0.11
12,9,0.093333333
12,27,0.17
12,9,0.26
12,18,0.1
12,9,0.13
10,9,0.116666667
12,9,0.133333333
12,9,0.076666667
12,9,0.18
12,9,0.246666667
12,9,0.19
6,9,0.08
12,9,0.406666667
6,9,0.18
6,9,0.123333333
6,9,0.68
10,9,0.103333333
16,9,0.213333333
6,9,0.096666667
10,9,0.176666667
6,9,0.093333333
10,18,0.156666667
10,9,0.21
10,9,0.136666667
16,9,0.073333333
10,9,0.066666667
16,9,0.163333333
10,9,0.193333333
10,18,0.113333333
16,90,0.14
16,54,0.24
12,9,0.023333333
14,9,0.036666667
14,9,0.163333333
12,27,0.093333333
14,9,0.096666667
14,18,0.08
14,9,0.073333333
14,27,0.066666667
14,27,0.1
12,9,0.02
14,27,0.073333333
12,18,0.036666667
14,9,0.046666667
14,36,0.06
12,9,0.066666667
12,9,0.05
12,27,0.063333333
8,18,0.033333333
8,18,0.043333333
8,9,0.03
10,9,0.153333333
12,9,0.12
16,9,0.263333333
16,36,0.063333333
10,9,0.076666667
10,9,0.113333333
10,9,0.113333333
8,27,0.11
8,18,0.036666667
10,9,0.046666667
2,9,0.126666667
8,18,0.063333333
8,9,0.026666667
8,27,0.086666667
2,9,0.116666667
12,9,0.173333333
12,9,0.196666667
12,9,0.32
12,9,0.313333333
12,27,0.143333333
12,99,0.856666667
10,90,0.596666667
10,18,0.483333333
16,90,0.483333333
12,99,0.473333333
12,108,0.46
10,36,0.92
12,108,0.546666667
16,108,0.406666667
16,99,0.8
10,81,0.643333333
12,72,0.686666667
10,117,0.563333333
12,108,0.433333333
12,90,0.56
12,108,0.596666667
10,54,0.483333333
10,18,0.346666667
10,45,0.433333333
12,90,0.57
16,45,0.553333333
16,90,0.43
16,162,0.593333333
10,9,0.84
10,36,0.393333333
12,135,0.666666667
16,117,0.466666667
16,108,0.486666667
16,135,0.576666667
16,108,0.54
16,144,0.713333333
10,90,0.796666667
10,117,0.613333333
12,18,0.15
10,72,0.58
10,18,0.78
16,63,0.56
12,72,0.363333333
16,90,0.336666667
16,162,0.436666667
16,72,0.68
10,27,0.74
12,90,0.603333333
16,108,0.52
12,117,0.823333333
12,90,0.55
10,9,0.34
10,54,0.573333333
12,9,0.07
12,9,0.186666667
10,9,0.14
12,9,0.056666667
12,9,0.26
16,9,0.143333333
12,108,0.496666667
10,36,0.62
16,99,0.753333333
